0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20508,,0.21489,0.22684,,0.25182,,0.2718,0.2908,,0.2923,0.30932,,0.33098,0.33152,0.33308,0.3359
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2051,,0.21491,0.22686,,0.2517,,0.27133,0.28992,,0.29176,0.30867,,0.33022,0.33081,0.33255,0.33558
27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20514,,0.21494,0.22691,,0.25172,,0.27097,0.28917,,0.29128,0.3081,,0.32961,0.33024,0.33213,0.33533
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20519,,0.21498,0.22699,,0.25187,,0.27073,0.28853,,0.29087,0.30761,,0.32914,0.32981,0.33183,0.33516
28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20525,,0.21503,0.2271,,0.25215,,0.27058,0.28799,,0.29052,0.30718,,0.3288,0.32951,0.33163,0.33507
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20533,,0.21509,0.22725,,0.25258,,0.27053,0.28754,,0.29021,0.30682,,0.3286,0.32933,0.33153,0.33504
29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20542,,0.21517,0.22743,,0.25316,,0.27058,0.28718,,0.28995,0.30651,,0.32852,0.32927,0.33152,0.33508
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20553,,0.21526,0.22766,,0.2539,,0.27073,0.28689,,0.28973,0.30624,,0.32856,0.32933,0.33162,0.3352
30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20565,,0.21537,0.22793,,0.25482,,0.27098,0.28666,,0.28954,0.30602,,0.32873,0.32951,0.33181,0.33539
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20581,,0.21551,0.22825,,0.25594,,0.27134,0.2865,,0.28938,0.30584,,0.32903,0.32982,0.33211,0.33565
31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20598,,0.21566,0.22863,,0.25728,,0.27181,0.28641,,0.28925,0.30569,,0.32946,0.33025,0.33252,0.336
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20619,,0.21585,0.22908,,0.25886,,0.2724,0.28637,,0.28915,0.30557,,0.33002,0.33082,0.33304,0.33643
32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20644,,0.21606,0.2296,,0.26073,,0.27313,0.28639,,0.28907,0.30549,,0.33074,0.33154,0.33369,0.33696
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20672,,0.21631,0.23021,,0.26292,,0.274,0.28646,,0.28901,0.30543,,0.33163,0.33242,0.33447,0.33759
33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20705,,0.2166,0.23092,,0.26547,,0.27505,0.2866,,0.28897,0.3054,,0.33269,0.33348,0.33541,0.33834
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20743,,0.21693,0.23174,,0.26844,,0.27628,0.2868,,0.28895,0.30539,,0.33395,0.33473,0.33651,0.33921
34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20788,,0.21732,0.2327,,0.27189,,0.27772,0.28707,,0.28895,0.30542,,0.33543,0.33619,0.3378,0.34023
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20839,,0.21778,0.23381,,0.27589,,0.2794,0.2874,,0.28898,0.30547,,0.33716,0.3379,0.33929,0.34141
35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20896,,0.21828,0.23504,,0.28034,,0.28127,0.2878,,0.28901,0.30554,,0.33908,0.3398,0.34095,0.34272
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20952,,0.21877,0.23623,,0.28459,,0.28303,0.28815,,0.28904,0.30564,,0.34102,0.34171,0.34262,0.34402
36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21009,,0.21926,0.23742,,0.28879,,0.28472,0.28845,,0.28905,0.30575,,0.34302,0.34368,0.34433,0.34535
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21065,,0.21974,0.23859,,0.2929,,0.28632,0.2887,,0.28904,0.30589,,0.34505,0.34568,0.34606,0.34669
37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21121,,0.22022,0.23973,,0.29686,,0.28782,0.2889,,0.28902,0.30604,,0.34708,0.34768,0.34778,0.34802
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21175,,0.22069,0.24084,,0.30063,,0.2892,0.28905,,0.28899,0.30621,,0.34909,0.34965,0.34947,0.34931
38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21228,,0.22113,0.24189,,0.30417,,0.29044,0.28915,,0.28895,0.30639,,0.35104,0.35156,0.35111,0.35056
